-,-,-
-949, -79, 310
-924, -63, 297
-942, -36, 307
-993, -17, 339
-993, -17, 339
-1114, -8, 354
-1294, -12, 354
-1495, -25, 357
-1672, -31, 387
-1738, 9, 458
-1700, 15, 542
-1596, 13, 589
-1484, -58, 608
-1380, -99, 591
-1251, -60, 542
-1251, -60, 542
-1113, -47, 461
-986, -76, 405
-913, -148, 391
-820, -147, 419
-723, -113, 400
-650, -95, 320
-565, -71, 226
-514, -86, 96
-511, -119, -11
-,-,-
-1083, -61, 344
-1141, -40, 369
-1163, -55, 385
-1177, -24, 410
-1193, 11, 425
-1197, 48, 427
-1184, 30, 419
-1184, 30, 419
-1232, -29, 385
-1335, -96, 330
-1402, -134, 285
-1390, -150, 268
-1307, -124, 264
-1195, -36, 213
-1090, 30, 172
-1000, 59, 156
-950, 52, 131
-888, 36, 109
-837, 54, 111
-837, 54, 111
-803, 56, 128
-767, 31, 134
-727, 12, 152
-682, 17, 155
-619, 32, 150
-619, 32, 150
-,-,-
-893, 7, 338
-925, 22, 372
-925, 22, 372
-993, 13, 408
-1093, 27, 440
-1194, 55, 463
-1296, 82, 505
-1382, 97, 545
-1431, 108, 576
-1428, 114, 569
-1378, 102, 548
-1378, 102, 548
-1271, 114, 515
-1202, 119, 494
-1191, 52, 480
-1157, -7, 460
-1071, -32, 430
-951, -21, 381
-844, -3, 297
-791, 13, 212
-767, 27, 176
-767, 27, 176
-749, 49, 170
-772, 56, 171
-797, 39, 160
-795, 38, 171
-792, 50, 183
-792, 50, 183
-821, 45, 155
-,-,-
-1183, -1, 504
-1210, 28, 532
-1254, 45, 613
-1274, 60, 725
-1304, 89, 811
-1320, 110, 839
-1295, 123, 798
-1266, 95, 741
-1226, 74, 696
-1226, 74, 696
-1182, 61, 683
-1148, 32, 673
-1080, 28, 609
-1019, 13, 538
-988, -30, 476
-949, -33, 392
-886, -8, 331
-831, 24, 306
-831, 24, 306
-810, 60, 301
-829, 40, 306
-845, 14, 292
-848, 9, 247
-848, 9, 247
-845, 0, 200
-791, 22, 151
-699, 53, 143
-593, 73, 184
-593, 73, 184
-,-,-
-1129, 195, 543
-1184, 151, 580
-1227, 89, 569
-1233, 106, 554
